combo_idx,band_indices_1based,band_names,macro_f1,recall_cls_1,recall_cls_2,recall_cls_3,recall_cls_4,n_samples
798,"2,3,11,15,17","building_density,glcm_contrast,proximity_resto,dem,ntl",0.616071429,0.5,0.692307692,0.5,0.769230769,159
1425,"2,6,9,13,14","building_density,lst,ndvi,proximity_thirdspace,proximity_transport",0.6155445,0.583333333,0.461538462,0.6,0.846153846,159
1342,"2,6,7,9,17","building_density,lst,mndwi,ndvi,ntl",0.615400903,0.583333333,0.461538462,0.6,0.846153846,159
288,"1,2,6,15,16","bu,building_density,lst,dem,land_cover",0.615384615,0.75,0.461538462,0.5,0.769230769,159
258,"1,2,6,9,13","bu,building_density,lst,ndvi,proximity_thirdspace",0.615325049,0.833333333,0.384615385,0.6,0.692307692,159
1545,"2,7,9,13,14","building_density,mndwi,ndvi,proximity_thirdspace,proximity_transport",0.615256499,0.5,0.615384615,0.5,0.846153846,159
1452,"2,6,10,14,17","building_density,lst,proximity_park,proximity_transport,ntl",0.614835663,0.5,0.615384615,0.5,0.846153846,159
602,"2,3,6,7,10","building_density,glcm_contrast,lst,mndwi,proximity_park",0.614793689,0.75,0.461538462,0.5,0.769230769,159
1696,"2,9,10,11,13","building_density,ndvi,proximity_park,proximity_resto,proximity_thirdspace",0.614793689,0.75,0.461538462,0.5,0.769230769,159
995,"2,4,8,10,12","building_density,glcm_entropy,ndbi,proximity_park,proximity_road",0.614427523,0.5,0.692307692,0.5,0.769230769,159
245,"1,2,6,7,17","bu,building_density,lst,mndwi,ntl",0.614396135,0.583333333,0.538461538,0.5,0.846153846,159
601,"2,3,6,7,9","building_density,glcm_contrast,lst,mndwi,ndvi",0.614385614,0.75,0.461538462,0.5,0.769230769,159
887,"2,4,6,7,9","building_density,glcm_entropy,lst,mndwi,ndvi",0.614385614,0.75,0.461538462,0.5,0.769230769,159
1107,"2,5,6,7,9","building_density,glcm_homogeneity,lst,mndwi,ndvi",0.614385614,0.75,0.461538462,0.5,0.769230769,159
1084,"2,4,11,15,17","building_density,glcm_entropy,proximity_resto,dem,ntl",0.614318555,0.5,0.692307692,0.5,0.769230769,159
1605,"2,7,13,15,17","building_density,mndwi,proximity_thirdspace,dem,ntl",0.613897597,0.583333333,0.615384615,0.4,0.846153846,159
758,"2,3,9,14,15","building_density,glcm_contrast,ndvi,proximity_transport,dem",0.613846154,0.666666667,0.615384615,0.4,0.769230769,159
1044,"2,4,9,14,15","building_density,glcm_entropy,ndvi,proximity_transport,dem",0.613846154,0.666666667,0.615384615,0.4,0.769230769,159
1264,"2,5,9,14,15","building_density,glcm_homogeneity,ndvi,proximity_transport,dem",0.613846154,0.666666667,0.615384615,0.4,0.769230769,159
1747,"2,9,14,15,16","building_density,ndvi,proximity_transport,dem,land_cover",0.613846154,0.666666667,0.615384615,0.4,0.769230769,159
1759,"2,10,11,13,17","building_density,proximity_park,proximity_resto,proximity_thirdspace,ntl",0.613730627,0.5,0.615384615,0.5,0.846153846,159
763,"2,3,9,16,17","building_density,glcm_contrast,ndvi,land_cover,ntl",0.612961113,0.5,0.615384615,0.5,0.846153846,159
1049,"2,4,9,16,17","building_density,glcm_entropy,ndvi,land_cover,ntl",0.612961113,0.5,0.615384615,0.5,0.846153846,159
666,"2,3,7,9,12","building_density,glcm_contrast,mndwi,ndvi,proximity_road",0.612944383,0.666666667,0.615384615,0.4,0.769230769,159
952,"2,4,7,9,12","building_density,glcm_entropy,mndwi,ndvi,proximity_road",0.612944383,0.666666667,0.615384615,0.4,0.769230769,159
1172,"2,5,7,9,12","building_density,glcm_homogeneity,mndwi,ndvi,proximity_road",0.612944383,0.666666667,0.615384615,0.4,0.769230769,159
1358,"2,6,7,12,15","building_density,lst,mndwi,proximity_road,dem",0.612922078,0.416666667,0.615384615,0.6,0.846153846,159
631,"2,3,6,10,15","building_density,glcm_contrast,lst,proximity_park,dem",0.612796624,0.75,0.538461538,0.4,0.769230769,159
687,"2,3,7,12,15","building_density,glcm_contrast,mndwi,proximity_road,dem",0.612507058,0.416666667,0.538461538,0.6,0.923076923,159
1604,"2,7,13,15,16","building_density,mndwi,proximity_thirdspace,dem,land_cover",0.612179487,0.666666667,0.538461538,0.4,0.846153846,159
1073,"2,4,11,12,15","building_density,glcm_entropy,proximity_resto,proximity_road,dem",0.611671843,0.416666667,0.692307692,0.5,0.846153846,159
34,"1,2,3,6,15","bu,building_density,glcm_contrast,lst,dem",0.611441799,0.666666667,0.538461538,0.4,0.846153846,159
178,"1,2,5,6,15","bu,building_density,glcm_homogeneity,lst,dem",0.611441799,0.666666667,0.538461538,0.4,0.846153846,159
423,"1,2,11,12,15","bu,building_density,proximity_resto,proximity_road,dem",0.611373361,0.5,0.615384615,0.4,0.923076923,159
1800,"2,11,13,15,17","building_density,proximity_resto,proximity_thirdspace,dem,ntl",0.611363636,0.5,0.615384615,0.5,0.846153846,159
1730,"2,9,11,16,17","building_density,ndvi,proximity_resto,land_cover,ntl",0.610889111,0.416666667,0.692307692,0.5,0.846153846,159
973,"2,4,7,12,15","building_density,glcm_entropy,mndwi,proximity_road,dem",0.610530774,0.416666667,0.538461538,0.6,0.923076923,159
1702,"2,9,10,12,14","building_density,ndvi,proximity_park,proximity_road,proximity_transport",0.610519111,0.333333333,0.615384615,0.6,0.923076923,159
1723,"2,9,11,13,16","building_density,ndvi,proximity_resto,proximity_thirdspace,land_cover",0.610459049,0.75,0.538461538,0.4,0.769230769,159
748,"2,3,9,11,17","building_density,glcm_contrast,ndvi,proximity_resto,ntl",0.609615385,0.5,0.692307692,0.4,0.846153846,159
1034,"2,4,9,11,17","building_density,glcm_entropy,ndvi,proximity_resto,ntl",0.609615385,0.5,0.692307692,0.4,0.846153846,159
